p1,p2,g,alg,alarm,t,l,false_alarm,delay
0.01,0.02,1,random,logistic_topr,59,1,0,58
0.01,0.02,1,random,logistic_topr,52,1,0,51
0.01,0.02,1,random,logistic_topr,42,3,0,41
0.01,0.02,1,random,logistic_topr,81,1,0,80
0.01,0.02,1,random,logistic_topr,45,5,0,44
0.01,0.02,1,random,logistic_topr,14,3,0,13
0.01,0.02,1,random,logistic_topr,36,5,0,35
0.01,0.02,1,random,logistic_topr,45,1,0,44
0.01,0.02,1,random,logistic_topr,22,3,0,21
0.01,0.02,1,random,logistic_topr,42,3,0,41
0.01,0.02,1,random,logistic_topr,64,1,0,63
0.01,0.02,1,random,logistic_topr,75,2,0,74
0.01,0.02,1,random,logistic_topr,32,5,0,31
0.01,0.02,1,random,logistic_topr,21,3,0,20
0.01,0.02,1,random,logistic_topr,35,4,0,34
0.01,0.02,1,random,logistic_topr,34,4,0,33
0.01,0.02,1,random,logistic_topr,46,1,0,45
0.01,0.02,1,random,logistic_topr,57,1,0,56
0.01,0.02,1,random,logistic_topr,43,3,0,42
0.01,0.02,1,random,logistic_topr,70,2,0,69
0.01,0.02,1,random,logistic_topr,30,3,0,29
0.01,0.02,1,random,logistic_topr,15,1,0,14
0.01,0.02,1,random,logistic_topr,24,4,0,23
0.01,0.02,1,random,logistic_topr,33,2,0,32
0.01,0.02,1,random,logistic_topr,23,4,0,22
0.01,0.02,1,random,logistic_topr,24,3,0,23
0.01,0.02,1,random,logistic_topr,17,1,0,16
